date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,25.2,22.8,28.6,2.2,,53,9.5,,1013,
2024-01-02 00:00:00,24.9,22.6,28.6,0,,68,9.7,,1012.9,
2024-01-03 00:00:00,24.2,20.4,33,9.9,,84,11.6,,1015.3,
2024-01-04 00:00:00,25.2,22.6,28.9,0,,70,11.8,,1015.7,
2024-01-05 00:00:00,21.2,17.5,28.6,3,,25,11.4,,1012.8,
2024-01-06 00:00:00,26.9,24,31.9,0,,353,8.7,,1008.7,
2024-01-07 00:00:00,24.9,20.2,32,12.3,,79,8.1,,1007.7,
2024-01-08 00:00:00,24.8,18.6,32,55.9,,352,4.5,,1008.6,
2024-01-09 00:00:00,27.9,22.1,33.1,0,,16,5.6,,1009.9,
2024-01-10 00:00:00,27.6,23.2,33.5,1,,78,7.2,,1009.8,
2024-01-11 00:00:00,24.1,20.7,32.8,7.9,,117,11.5,,1015.5,
2024-01-12 00:00:00,21.8,18.3,27.6,0,,80,9.8,,1017.1,
2024-01-13 00:00:00,25.6,21.7,30.7,0.2,,17,11.4,,1012,
2024-01-14 00:00:00,26.5,21,32.3,3.4,,309,7.5,,1008.9,
2024-01-15 00:00:00,26.1,21.8,32.3,0,,54,9.9,,1010.2,
2024-01-16 00:00:00,23.4,19.4,31.3,14,,114,7.6,,1010.8,
2024-01-17 00:00:00,22.3,17.8,36.5,0,,121,7.6,,1015.6,
2024-01-18 00:00:00,25.6,22.8,29.4,0.5,,36,8.4,,1011.1,
2024-01-19 00:00:00,25.4,20.8,31.5,0,,122,10,,1012.6,
2024-01-20 00:00:00,23.2,16.5,31.5,0,,124,9.8,,1016,
2024-01-21 00:00:00,23.6,19.9,28.2,0,,82,10.9,,1019.2,
2024-01-22 00:00:00,22.6,18,27.9,0,,50,8.6,,1021.7,
2024-01-23 00:00:00,24.6,20.5,28.5,0,,58,12,,1020,
2024-01-24 00:00:00,22.4,20.6,26.6,11.9,,39,14.2,,1017.6,
2024-01-25 00:00:00,26,22.4,30,0,,32,11.2,,1017.7,
2024-01-26 00:00:00,24.6,20.4,29.5,0,,15,11.5,,1019,
2024-01-27 00:00:00,25.8,21.7,30.2,60.2,,39,11.2,,1017.3,
2024-01-28 00:00:00,25.7,22.3,30,0,,57,10.7,,1015.4,
2024-01-29 00:00:00,26.9,23.7,31.3,0,,35,9,,1013.6,
2024-01-30 00:00:00,29.3,25.1,33.7,0,,11,8,,1011.9,
2024-01-31 00:00:00,29.6,25,34.7,0.8,,17,5.2,,1012.3,
2024-02-01 00:00:00,31.7,25.8,37.7,0,,18,7.7,,1015,
2024-02-02 00:00:00,31.1,26.2,37.9,0,,16,9.8,,1014.6,
2024-02-03 00:00:00,30.3,23.3,37.4,0,,338,12.2,,1011,
2024-02-04 00:00:00,23.2,18.3,37.8,0,,136,17.8,,1016.7,
2024-02-05 00:00:00,25.9,21.2,31.9,0,,65,10.1,,1014.4,
2024-02-06 00:00:00,28.6,24.8,35,0.1,,31,13.4,,1014,
2024-02-07 00:00:00,29.5,24.4,35,0,,9,8.4,,1010.7,
2024-02-08 00:00:00,29.1,24.6,33.9,0.9,,69,9.6,,1010,
2024-02-09 00:00:00,26.2,24.2,34,6.6,,142,9.2,,1011.2,
2024-02-10 00:00:00,27.4,24.5,32,26.6,,317,4.9,,1009.5,
2024-02-11 00:00:00,28.7,23.1,33.8,0,,314,6.2,,1010.4,
2024-02-12 00:00:00,25.6,18.2,33.9,0,,148,9.8,,1010.1,
2024-02-13 00:00:00,19.2,12.9,25,25.9,,156,10.4,,1022.1,
2024-02-14 00:00:00,21.1,16.7,24.5,0,,83,9,,1021.7,
2024-02-15 00:00:00,23.9,21.1,27.6,0,,47,12.2,,1018.4,
2024-02-16 00:00:00,25.1,22.7,29.2,0,,70,10.9,,1016.2,
2024-02-17 00:00:00,25.8,23,29.6,0,,71,11.6,,1014.5,
2024-02-18 00:00:00,26,23.9,29.6,3.8,,100,6.5,,1013.9,
2024-02-19 00:00:00,25.6,21.2,31.7,0,,139,7.7,,1012.4,
2024-02-20 00:00:00,26.2,23.2,31.7,0.4,,69,7.9,,1011,
2024-02-21 00:00:00,27.4,24.1,31.1,0,,37,9.3,,1009.9,
2024-02-22 00:00:00,27.4,23.8,31.3,0,,38,9.2,,1007.1,
2024-02-23 00:00:00,25.7,22.2,31.1,0,,172,9,,1012.4,
2024-02-24 00:00:00,24,20.3,29.5,0,,127,12.1,,1021.4,
2024-02-25 00:00:00,23.2,20.3,26.7,0,,94,12.2,,1022.6,
2024-02-26 00:00:00,23,20.5,26.7,13,,84,8.7,,1016,
2024-02-27 00:00:00,25.1,22.3,28.2,0,,62,6,,1011.4,
2024-02-28 00:00:00,26.5,21.2,31,0,,33,5.9,,1011.7,
2024-02-29 00:00:00,26.1,22.5,31.2,6.4,,105,8.3,,1014.6,
2024-03-01 00:00:00,24.6,21.5,30.2,0,,73,8.2,,1014.6,
2024-03-02 00:00:00,25.8,24.2,30.1,12.2,,4,7.7,,1008.8,
2024-03-03 00:00:00,22.2,16,30.1,0,,146,11,,1017.2,
2024-03-04 00:00:00,16.3,7.6,24.5,0,,354,4.8,,1018.5,
2024-03-05 00:00:00,20.4,15.5,28.2,0,,149,8.9,,1019,
2024-03-06 00:00:00,21.2,17.2,26.3,0,,34,8.7,,1016.1,
2024-03-07 00:00:00,24.3,20.1,29.8,0,,23,9.3,,1014.3,
2024-03-08 00:00:00,25.5,22.6,30.9,0,,53,8.9,,1010.1,
2024-03-09 00:00:00,20.9,15.9,25.5,13.9,,224,6.7,,1008.8,
